date,year,month,day,weekday,hour,demand,temperature
12/6/2004,2004,12,6,2,5,11967,23
12/6/2004,2004,12,6,2,6,13272,23
12/6/2004,2004,12,6,2,7,15731,23
12/6/2004,2004,12,6,2,8,17194,23
12/6/2004,2004,12,6,2,9,17528,24
12/6/2004,2004,12,6,2,10,17717,25
12/6/2004,2004,12,6,2,11,17799,26
12/6/2004,2004,12,6,2,12,17766,27
12/6/2004,2004,12,6,2,13,17654,27
12/6/2004,2004,12,6,2,14,17692,28
12/6/2004,2004,12,6,2,15,17680,28
12/6/2004,2004,12,6,2,16,18041,27
12/6/2004,2004,12,6,2,17,19569,26
12/6/2004,2004,12,6,2,18,20426,27
12/6/2004,2004,12,6,2,19,20288,26
12/6/2004,2004,12,6,2,20,19747,26
12/6/2004,2004,12,6,2,21,18895,26
12/6/2004,2004,12,6,2,22,17529,27
12/6/2004,2004,12,6,2,23,15631,28
12/6/2004,2004,12,6,2,24,13921,28
12/7/2004,2004,12,7,3,1,12837,29
12/7/2004,2004,12,7,3,2,12299,29
12/7/2004,2004,12,7,3,3,12053,29
12/7/2004,2004,12,7,3,4,11992,29
12/7/2004,2004,12,7,3,5,12274,30
12/7/2004,2004,12,7,3,6,13428,30
12/7/2004,2004,12,7,3,7,15701,30
12/7/2004,2004,12,7,3,8,17238,31
12/7/2004,2004,12,7,3,9,17613,31
12/7/2004,2004,12,7,3,10,17809,31
12/7/2004,2004,12,7,3,11,17924,32
12/7/2004,2004,12,7,3,12,17928,32
12/7/2004,2004,12,7,3,13,17812,33
12/7/2004,2004,12,7,3,14,17771,33
12/7/2004,2004,12,7,3,15,17733,34
12/7/2004,2004,12,7,3,16,18098,34
12/7/2004,2004,12,7,3,17,19397,35
12/7/2004,2004,12,7,3,18,19985,35
12/7/2004,2004,12,7,3,19,19706,36
12/7/2004,2004,12,7,3,20,19088,37
12/7/2004,2004,12,7,3,21,18183,37
12/7/2004,2004,12,7,3,22,16801,37
12/7/2004,2004,12,7,3,23,14942,37
12/7/2004,2004,12,7,3,24,13282,37
12/8/2004,2004,12,8,4,1,12129,37
12/8/2004,2004,12,8,4,2,11572,37
12/8/2004,2004,12,8,4,3,11342,36
12/8/2004,2004,12,8,4,4,11270,35
12/8/2004,2004,12,8,4,5,11565,35
12/8/2004,2004,12,8,4,6,12723,36
12/8/2004,2004,12,8,4,7,15061,36
12/8/2004,2004,12,8,4,8,16387,37
12/8/2004,2004,12,8,4,9,16543,38
12/8/2004,2004,12,8,4,10,16479,42
12/8/2004,2004,12,8,4,11,16395,44
12/8/2004,2004,12,8,4,12,16287,47
12/8/2004,2004,12,8,4,13,16127,50
12/8/2004,2004,12,8,4,14,16030,50
12/8/2004,2004,12,8,4,15,15941,51
12/8/2004,2004,12,8,4,16,16126,50
12/8/2004,2004,12,8,4,17,17581,48
12/8/2004,2004,12,8,4,18,18875,47
12/8/2004,2004,12,8,4,19,18764,46
12/8/2004,2004,12,8,4,20,18306,45
12/8/2004,2004,12,8,4,21,17614,44
12/8/2004,2004,12,8,4,22,16432,43
12/8/2004,2004,12,8,4,23,14715,42
12/8/2004,2004,12,8,4,24,13030,41
12/9/2004,2004,12,9,5,1,11948,40
12/9/2004,2004,12,9,5,2,11436,38
12/9/2004,2004,12,9,5,3,11227,37
12/9/2004,2004,12,9,5,4,11229,37
12/9/2004,2004,12,9,5,5,11566,36
12/9/2004,2004,12,9,5,6,12806,35
12/9/2004,2004,12,9,5,7,15218,34
12/9/2004,2004,12,9,5,8,16556,34
12/9/2004,2004,12,9,5,9,16722,34
12/9/2004,2004,12,9,5,10,16715,36
12/9/2004,2004,12,9,5,11,16645,38
12/9/2004,2004,12,9,5,12,16517,40
12/9/2004,2004,12,9,5,13,16340,41
12/9/2004,2004,12,9,5,14,16307,41
12/9/2004,2004,12,9,5,15,16259,41
12/9/2004,2004,12,9,5,16,16630,41
12/9/2004,2004,12,9,5,17,18175,40
12/9/2004,2004,12,9,5,18,19097,40
12/9/2004,2004,12,9,5,19,18971,40
12/9/2004,2004,12,9,5,20,18510,39
12/9/2004,2004,12,9,5,21,17784,39
12/9/2004,2004,12,9,5,22,16604,38
12/9/2004,2004,12,9,5,23,14866,38
12/9/2004,2004,12,9,5,24,13213,38
12/10/2004,2004,12,10,6,1,12045,38
12/10/2004,2004,12,10,6,2,11487,39
12/10/2004,2004,12,10,6,3,11227,39
12/10/2004,2004,12,10,6,4,11161,39
12/10/2004,2004,12,10,6,5,11453,38
12/10/2004,2004,12,10,6,6,12561,39
12/10/2004,2004,12,10,6,7,14849,39
12/10/2004,2004,12,10,6,8,16495,39
12/10/2004,2004,12,10,6,9,16925,39
12/10/2004,2004,12,10,6,10,17115,40
12/10/2004,2004,12,10,6,11,17197,40
12/10/2004,2004,12,10,6,12,17170,40
12/10/2004,2004,12,10,6,13,17054,40
12/10/2004,2004,12,10,6,14,17007,40
12/10/2004,2004,12,10,6,15,16957,40
12/10/2004,2004,12,10,6,16,17180,40
12/10/2004,2004,12,10,6,17,18275,40
12/10/2004,2004,12,10,6,18,18822,40
12/10/2004,2004,12,10,6,19,18432,40
12/10/2004,2004,12,10,6,20,17743,41
12/10/2004,2004,12,10,6,21,17055,41
12/10/2004,2004,12,10,6,22,16074,41
12/10/2004,2004,12,10,6,23,14723,41
12/10/2004,2004,12,10,6,24,13167,41
12/11/2004,2004,12,11,7,1,11976,41
12/11/2004,2004,12,11,7,2,11281,40
12/11/2004,2004,12,11,7,3,10895,41
12/11/2004,2004,12,11,7,4,10731,40
12/11/2004,2004,12,11,7,5,10794,40
12/11/2004,2004,12,11,7,6,11202,39
12/11/2004,2004,12,11,7,7,12089,38
12/11/2004,2004,12,11,7,8,13220,39
12/11/2004,2004,12,11,7,9,14480,38
12/11/2004,2004,12,11,7,10,15297,38
12/11/2004,2004,12,11,7,11,15639,39
12/11/2004,2004,12,11,7,12,15675,40
12/11/2004,2004,12,11,7,13,15500,40
12/11/2004,2004,12,11,7,14,15251,41
12/11/2004,2004,12,11,7,15,15091,42
12/11/2004,2004,12,11,7,16,15305,42
12/11/2004,2004,12,11,7,17,16546,42
12/11/2004,2004,12,11,7,18,17295,42
12/11/2004,2004,12,11,7,19,16988,42
12/11/2004,2004,12,11,7,20,16407,42
12/11/2004,2004,12,11,7,21,15837,43
12/11/2004,2004,12,11,7,22,15127,42
12/11/2004,2004,12,11,7,23,14051,41
12/11/2004,2004,12,11,7,24,12745,40
12/12/2004,2004,12,12,1,1,11626,40
12/12/2004,2004,12,12,1,2,10930,40
12/12/2004,2004,12,12,1,3,10578,40
12/12/2004,2004,12,12,1,4,10448,39
12/12/2004,2004,12,12,1,5,10494,38
12/12/2004,2004,12,12,1,6,10781,38
12/12/2004,2004,12,12,1,7,11404,37
12/12/2004,2004,12,12,1,8,12210,37
12/12/2004,2004,12,12,1,9,13376,37
12/12/2004,2004,12,12,1,10,14248,37
